PV Name,Value Written,Value Read,Time,Delta
process_data_read15:temperature,30,30.0,1626164302835,0.0
process_data_read15:temperature,31,30.0,1626164302835,0.0
process_data_read15:temperature,32,31.0,1626164303522,687.0
process_data_read15:temperature,33,33.0,1626164303729,207.0
process_data_read15:temperature,34,34.0,1626164303830,101.0
process_data_read15:temperature,35,35.0,1626164303930,100.0
process_data_read15:temperature,36,36.0,1626164304030,100.0
process_data_read15:temperature,37,37.0,1626164304131,101.0
process_data_read15:temperature,38,38.0,1626164304231,100.0
process_data_read15:temperature,39,39.0,1626164304341,110.0
