PV Name,Value Written,Value Read,Time,Delta
process_data_read140:temperature,280,280.0,1626109934648,0.0
process_data_read140:temperature,281,280.0,1626109934648,0.0
process_data_read140:temperature,282,280.0,1626109934648,0.0
process_data_read140:temperature,283,280.0,1626109934648,0.0
process_data_read140:temperature,284,280.0,1626109934648,0.0
process_data_read140:temperature,285,285.0,1626109935496,848.0
process_data_read140:temperature,286,286.0,1626109935549,53.0
process_data_read140:temperature,287,287.0,1626109935599,50.0
process_data_read140:temperature,288,288.0,1626109935650,51.0
process_data_read140:temperature,289,289.0,1626109935702,52.0
process_data_read140:temperature,290,290.0,1626109935752,50.0
process_data_read140:temperature,291,291.0,1626109935802,50.0
process_data_read140:temperature,292,292.0,1626109935852,50.0
process_data_read140:temperature,293,293.0,1626109935903,51.0
process_data_read140:temperature,294,294.0,1626109935958,55.0
process_data_read140:temperature,295,295.0,1626109936008,50.0
process_data_read140:temperature,296,296.0,1626109936063,55.0
process_data_read140:temperature,297,297.0,1626109936117,54.0
process_data_read140:temperature,298,298.0,1626109936167,50.0
process_data_read140:temperature,299,299.0,1626109936218,51.0
